,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,2914766,357.54,917.11,-794.49,-19.33,-12.44,41.11,-459,-92,-880,0.4,0.51,-0.71,-0.28,-99.91,-16.62,123.74,29.12,394.71,1853.64,-603.82,4.1,-3.85,-24.53,-459,-92,-880,0.41,0.51,-0.69,-0.3,-97.65,-14.76,119.52,27.26,chair_situp
1,2914822,340.64,890.01,-754.09,-14.53,-12.98,38.53,-459,-92,-880,0.4,0.51,-0.7,-0.28,-98.74,-16.01,122.36,29.08,364.2,1845.46,-646.12,4.99,6.69,-19.83,-425,-113,-880,0.41,0.52,-0.68,-0.31,-97.06,-14.12,118.52,27.28,chair_situp
2,2914880,410.89,912.29,-815.67,-21.93,2.14,40.24,-425,-113,-880,0.41,0.51,-0.7,-0.29,-98.43,-16.38,121.59,29.11,347.23,1862,-704.1,2.34,6.32,-15.73,-425,-113,-880,0.42,0.52,-0.68,-0.31,-97.1,-14.41,118.57,27.28,chair_situp
3,2914935,407.53,912.54,-852.78,-20.1,-13.67,38.72,-425,-113,-880,0.4,0.51,-0.71,-0.28,-99.09,-16.35,122.36,29.1,346.19,1860.35,-720.21,-2.98,-4.62,-12.75,-439,-120,-860,0.41,0.51,-0.68,-0.32,-97.65,-13.71,118.3,27.27,chair_situp
4,2914997,453.92,964.66,-775.57,-12.76,-28.92,37.08,-439,-120,-860,0.41,0.5,-0.7,-0.29,-99.47,-16.07,121.13,29.1,338.68,1878.42,-631.1,-4.21,-11.31,-10.03,-439,-120,-860,0.41,0.51,-0.68,-0.32,-98.28,-14.08,117.68,27.26,chair_situp
5,2915055,505.37,989.81,-672.42,-20.89,-14.39,39.47,-439,-120,-860,0.42,0.49,-0.7,-0.3,-99.29,-17.59,119.21,29.09,346.86,1850.28,-581.54,-4.49,0.81,-7.56,-439,-120,-860,0.43,0.5,-0.68,-0.32,-97.69,-15.43,115.78,27.27,chair_situp
6,2915111,570.68,1026.37,-615.54,-27.82,-1.11,38.93,-432,-113,-870,0.45,0.48,-0.69,-0.3,-98.14,-19.55,116.61,29.11,371.95,1862.12,-607.85,-2.33,5.88,-7.51,-432,-113,-870,0.45,0.49,-0.67,-0.32,-96.66,-17.14,114.18,27.26,chair_situp
7,2915168,661.19,1038.39,-623.66,-28.76,-5.96,37.91,-432,-113,-870,0.46,0.47,-0.69,-0.29,-97.52,-21.41,115.42,29.09,354.19,1862.98,-586.06,0.5,1.53,-12.32,-432,-113,-870,0.46,0.49,-0.67,-0.32,-96.05,-18.1,113.15,27.25,chair_situp
8,2915224,643.01,1026.37,-567.57,-21.98,-24.71,32.43,-439,-106,-867,0.47,0.47,-0.69,-0.29,-97.28,-21.87,114.51,29.09,281.25,1859.74,-550.9,4.66,-4.88,-11.86,-439,-106,-867,0.46,0.48,-0.67,-0.32,-95.83,-17.95,112.47,27.26,chair_situp
9,2915281,614.14,993.77,-478.33,-17.55,-31.27,29.52,-439,-106,-867,0.47,0.47,-0.68,-0.3,-96.94,-21.6,113.26,29.1,268.86,1844.3,-609.92,7.82,-3.23,-8.68,-439,-106,-867,0.46,0.49,-0.67,-0.33,-95.7,-17.53,112.09,27.25,chair_situp
10,2915337,683.23,1040.16,-600.59,-23.8,-14.52,28.85,-429,-65,-880,0.48,0.47,-0.68,-0.29,-96.13,-21.74,113.82,29.09,301.21,1871.22,-656.74,6.77,1.52,-7.41,-429,-65,-880,0.47,0.49,-0.66,-0.31,-94.61,-18.07,112.76,27.27,chair_situp
11,2915394,764.4,1068.36,-521,-13.97,-16.99,22.04,-429,-65,-880,0.48,0.47,-0.68,-0.29,-94.96,-22.58,113.46,29.09,267.82,1864.81,-665.34,5.98,2.24,-5.79,-429,-65,-880,0.47,0.49,-0.66,-0.31,-93.74,-18.49,112.55,27.27,chair_situp
12,2915450,691.28,1011.84,-515.38,-5.13,-20,13.79,-429,-65,-880,0.48,0.48,-0.68,-0.28,-94.46,-22.33,113.85,29.09,227.42,1835.63,-667.18,4.32,-5.32,-2,-432,-99,-867,0.47,0.5,-0.66,-0.31,-94.06,-17.65,112.86,27.29,chair_situp
