,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,14.36,-452.94,-1605.9,546.14,-0.08,0.69,-0.45,-456,-113,-340,-0.55,0.5,0.29,-0.6,83.47,16.37,-69.81,28.89,-393.92,-1953.31,727.72,0.1,0.14,-0.18,-456,-113,-340,-0.55,0.5,0.3,-0.61,85.08,16.02,-69.78,28.53,sitting_chair
1,5597329,-448.91,-1614.75,552.8,0.21,-0.14,-0.68,-456,-113,-340,-0.53,0.5,0.3,-0.61,86.49,16.7,-70.17,28.91,-395.63,-1953.74,730.59,0.48,0.03,-0.24,-463,-113,-327,-0.53,0.49,0.31,-0.62,87.52,15.79,-69.99,28.53,sitting_chair
2,5597386,-448.97,-1613.71,552.43,0.67,0.16,-0.29,-463,-113,-327,-0.53,0.49,0.31,-0.62,88.38,16.2,-70.28,28.89,-395.45,-1950.01,724.24,0.7,0.55,0.19,-463,-113,-327,-0.53,0.48,0.32,-0.62,89.13,15.24,-70.08,28.51,sitting_chair
3,5597441,-458.5,-1618.53,554.14,0.5,-1.09,-0.98,-463,-113,-327,-0.52,0.48,0.32,-0.63,89.83,15.69,-70.35,28.9,-392.15,-1965.39,742.86,0.63,-1.08,-0.69,-402,-120,-340,-0.52,0.47,0.33,-0.63,91.12,14.97,-69.99,28.54,sitting_chair
4,5597497,-454.16,-1622.99,571.35,-0.86,0.7,-1.06,-402,-120,-340,-0.51,0.48,0.33,-0.64,92.1,15.54,-70.15,28.89,-404.42,-1961.18,742.98,-0.34,0.01,-0.72,-402,-120,-340,-0.51,0.47,0.34,-0.64,92.9,14.72,-69.89,28.54,sitting_chair
5,5597552,-456.3,-1611.15,558.17,-0.45,1.45,-0.49,-402,-120,-340,-0.5,0.47,0.34,-0.64,93.5,15.23,-70.15,28.9,-399.96,-1958.07,726.2,-0.37,-0.17,-0.65,-470,-120,-421,-0.51,0.46,0.35,-0.64,93.65,14.02,-70.02,28.53,sitting_chair
6,5597609,-462.22,-1602.48,561.22,1.13,0.12,-0.66,-470,-120,-421,-0.5,0.47,0.35,-0.64,93.83,14.48,-70.17,28.9,-418.76,-1963.56,755.68,-0.52,1,-1.14,-470,-120,-421,-0.51,0.46,0.35,-0.64,94,13.67,-69.86,28.54,sitting_chair
7,5597664,-481.57,-1623.35,600.28,1.97,4.99,0.08,-470,-120,-421,-0.5,0.46,0.34,-0.64,94.09,14.39,-69.78,28.9,-409.48,-1957.03,755.43,-3.87,6.52,-1.66,-470,-120,-421,-0.51,0.46,0.35,-0.64,94.07,13.57,-69.69,28.53,sitting_chair
8,5597721,-437.68,-1637.33,556.09,1.2,8.65,0.42,-458,-118,-420,-0.5,0.46,0.35,-0.64,93.97,14.01,-70.17,28.87,-359.31,-1954.59,700.26,-4.13,5.9,-2.29,-458,-118,-420,-0.51,0.46,0.35,-0.64,93.97,13.02,-70.34,28.54,sitting_chair
9,5597777,-410.95,-1611.15,478.33,-1.13,8.73,0.62,-458,-118,-420,-0.5,0.47,0.36,-0.64,93.84,13.51,-71.32,28.89,-341.37,-1932.37,652.28,-1.42,0.7,-1.05,-458,-118,-420,-0.5,0.46,0.36,-0.63,94.03,12.53,-71.37,28.52,sitting_chair
