,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,6195378,841.13,-1573.85,798.46,6.13,115.91,64.93,-251,-227,119,0.2,-0.07,-0.47,0.85,156.17,-4.43,-57.04,29.16,471.19,-1625.92,627.32,-90.59,27.57,249.99,-251,-227,119,0.14,-0.08,-0.5,0.85,161.37,-0.58,-60.71,28.25,walking
1,6195439,326.11,-1818.97,746.03,-15.31,64.29,43.32,-388,-226,-87,0.21,-0.1,-0.55,0.8,153.95,-4.29,-67.91,29.14,-114.75,-2000,673.83,-62.59,24.51,249.99,-388,-226,-87,0.17,-0.15,-0.57,0.79,153.54,2.61,-72.55,28.27,walking
2,6195496,-287.54,-1879.88,672,29.24,51.9,26.94,-388,-226,-87,0.19,-0.18,-0.57,0.78,150.33,4.03,-73.08,29.16,-380.43,-1578.92,525.82,-3.91,-97.23,84.4,-388,-226,-87,0.16,-0.19,-0.57,0.78,151.89,6.57,-74.04,28.26,walking
3,6195553,-125.61,-1889.89,736.69,39.99,-169.43,45.85,-353,-118,-123,0.18,-0.15,-0.59,0.77,153.11,1.04,-74.59,29.16,-193.24,-1697.57,758.42,43.23,-145.9,-92.08,-353,-118,-123,0.21,-0.12,-0.59,0.77,152.87,-4.05,-74.37,28.26,walking
4,6195609,149.54,-1835.14,1356.57,49.81,-105.2,-16.73,-353,-118,-123,0.24,-0.08,-0.57,0.78,151.9,-8.29,-70.27,29.17,-1038.76,-2000,538.57,0.09,40.31,0.5,-353,-118,-123,0.23,-0.16,-0.58,0.76,147.57,-1.83,-74.21,28.26,walking
5,6195665,-877.99,-2000,327.64,29.71,120.16,-13.23,-353,-118,-123,0.25,-0.23,-0.58,0.74,140.99,3.04,-77.8,29.15,-169.74,-2000,505.98,29.37,134.45,-94.76,-449,-263,-125,0.29,-0.24,-0.57,0.73,136.25,1.44,-76.75,28.28,walking
6,6195722,1030.64,-1758.91,1045.78,22.35,58.3,-47.26,-449,-263,-125,0.35,-0.18,-0.56,0.73,134.43,-6.95,-71.79,29.16,498.78,-1651.92,1004.52,45.16,-59.45,-75.19,-449,-263,-125,0.37,-0.13,-0.54,0.75,135.63,-11.28,-66.52,28.25,walking
7,6195780,496.52,-2000,1287.48,27.24,-118.4,-49.46,-449,-263,-125,0.36,-0.09,-0.52,0.77,138.23,-14.01,-63.25,29.17,-252.93,-2000,891.6,8.21,-49.05,-67.34,-449,-253,-125,0.35,-0.11,-0.52,0.77,138.48,-10.74,-64.09,28.28,walking
8,6195837,431.4,-1999.39,1030.46,23.28,2.87,-58.24,-449,-253,-125,0.36,-0.11,-0.52,0.77,137.1,-12.47,-63.16,29.18,23.8,-1969.91,697.51,18.01,11.09,-42.59,-449,-253,-125,0.36,-0.13,-0.52,0.76,136.48,-10.33,-64.66,28.29,walking
9,6195893,349.67,-1971.8,1172,26.53,-18.92,-58.11,-449,-253,-125,0.37,-0.11,-0.51,0.77,135.85,-11.66,-62.38,29.14,-300.78,-1931.82,817.02,11.41,-26.29,-38.81,-456,-229,-118,0.35,-0.15,-0.51,0.77,135.77,-7.51,-63.81,28.26,walking
10,6195950,282.41,-1926.76,1040.34,28.67,-30.71,-53.3,-456,-229,-118,0.37,-0.13,-0.51,0.77,135.17,-9.55,-62.79,29.15,-189.88,-2000,771.67,12.5,-16.49,-37.98,-456,-229,-118,0.36,-0.16,-0.51,0.77,134.9,-7.05,-64.38,28.3,walking
11,6196007,301.45,-1991.39,1091.13,28.18,-12.81,-63.29,-456,-229,-118,0.37,-0.14,-0.51,0.76,133.8,-9.37,-62.86,29.16,-218.57,-1940.12,792.97,9.51,-3.65,-38.96,-299,-227,-109,0.35,-0.16,-0.5,0.77,134.52,-5.75,-63.59,28.25,walking
12,6196064,317.38,-1934.33,1047.18,37.25,-1.37,-72,-299,-227,-109,0.37,-0.15,-0.49,0.77,134.12,-7.98,-61.72,29.13,-233.4,-1965.09,758.18,12.14,2.24,-45.71,-299,-227,-109,0.35,-0.17,-0.5,0.78,134.33,-4.88,-63.1,28.25,walking
13,6196120,123.54,-2000,1040.89,21.43,-48.45,-61.69,-299,-227,-109,0.35,-0.15,-0.49,0.78,135.26,-6.45,-62.13,29.16,-560.49,-1920.96,748.11,9.42,-9.53,-68.89,-299,-227,-109,0.34,-0.18,-0.49,0.78,135.07,-2.49,-63.43,28.25,walking
14,6196176,98.02,-2000,1051.51,7.62,-34.95,-47.87,-361,-215,-121,0.35,-0.17,-0.5,0.77,134.4,-4.8,-63.34,29.14,-480.1,-2000,606.02,6.92,-9.21,-96.78,-361,-215,-121,0.35,-0.2,-0.51,0.76,133.2,-3.01,-65.74,28.28,walking
15,6196234,7.51,-2000,927.43,-9.14,-14.89,-28.22,-361,-215,-121,0.35,-0.2,-0.51,0.76,132.99,-3.28,-65.97,29.16,-569.34,-2000,400.63,8.03,-22.19,-138.24,-361,-215,-121,0.35,-0.22,-0.52,0.75,132.03,-2.08,-69.07,28.23,walking
16,6196290,-300.35,-2000,717.16,-28.8,-71.88,17.08,-388,-174,36,0.3,-0.23,-0.51,0.77,135.62,2.31,-68.34,29.15,-595.76,-2000,108.46,24.03,-43.24,-185.65,-388,-174,36,0.3,-0.23,-0.53,0.75,135.29,1.78,-71.42,28.28,walking
