,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,859045,646.42,-592.83,-384.52,16.59,-11.17,-8.65,-253,-174,-415,0.44,0.06,-0.84,0.31,163.82,-51.10,-131.72,29.56,746.77,-167.48,-212.40,11.38,-4.19,-0.75,-244,-159,-393,0.56,0.14,-0.79,0.23,173.62,-69.66,-142.46,28.47,walking
1,859210,606.99,-493.96,-372.44,22.87,-6.32,-14.02,-244,-159,-393,0.46,0.08,-0.83,0.31,165.06,-54.10,-130.92,29.55,603.15,-224.91,-299.32,15.44,-7.77,1.07,-233,-174,-405,0.46,0.09,-0.83,0.29,167.36,-55.31,-134.32,28.46,walking
2,859266,584.47,-542.79,-260.07,15.94,-14.50,-6.65,-233,-174,-405,0.45,0.07,-0.83,0.32,162.90,-52.55,-128.85,29.55,637.82,-239.81,-216.67,17.06,-13.93,-3.91,-233,-174,-405,0.47,0.08,-0.82,0.31,163.56,-55.48,-130.00,28.46,walking
3,859323,554.63,-554.14,-241.09,13.31,-26.16,-4.08,-233,-174,-405,0.46,0.05,-0.82,0.34,159.64,-51.76,-125.23,29.54,650.45,-251.46,-178.10,20.69,-29.34,-8.74,-233,-174,-405,0.48,0.07,-0.81,0.32,160.42,-55.18,-126.17,28.44,walking
4,859379,656.37,-499.08,-167.66,6.78,-39.22,-5.71,-233,-212,-435,0.48,0.06,-0.81,0.34,156.85,-53.87,-122.26,29.55,744.20,-212.71,-187.26,17.58,-34.78,-9.51,-233,-212,-435,0.50,0.08,-0.80,0.32,158.98,-57.68,-125.02,28.49,walking
5,859435,628.30,-486.82,-206.24,7.16,-34.28,-14.55,-233,-212,-435,0.49,0.06,-0.81,0.33,156.74,-55.41,-122.64,29.55,581.30,-224.24,-218.75,8.62,-14.66,-9.64,-233,-212,-435,0.49,0.07,-0.81,0.31,159.05,-57.20,-125.96,28.47,walking
6,859492,580.75,-505.25,-248.23,9.12,-0.89,-14.43,-253,-164,-529,0.48,0.04,-0.81,0.33,155.20,-54.35,-123.35,29.55,670.47,-213.38,-225.46,4.01,1.58,-16.36,-253,-164,-529,0.50,0.05,-0.81,0.30,156.71,-57.68,-126.69,28.44,walking
7,859548,696.04,-531.92,-250.18,7.75,-1.87,-18.41,-253,-164,-529,0.50,0.03,-0.81,0.31,153.27,-55.95,-123.46,29.56,744.38,-189.58,-228.70,7.86,-16.60,-20.23,-253,-164,-529,0.52,0.06,-0.81,0.27,158.32,-61.12,-130.16,28.47,walking
8,859616,688.90,-531.74,-246.70,8.34,-22.13,-24.00,-226,-154,-550,0.51,0.04,-0.81,0.29,154.34,-58.19,-126.53,29.57,638.06,-254.27,-260.86,8.27,-12.47,-28.58,-226,-154,-550,0.52,0.05,-0.82,0.25,159.89,-60.44,-134.68,28.47,walking
9,859701,515.99,-582.03,-394.90,4.22,-20.45,-30.93,-226,-154,-550,0.48,0.02,-0.83,0.27,157.75,-54.11,-132.35,29.55,318.97,-399.66,-437.26,25.04,-25.84,-65.21,-246,-120,-489,0.36,0.01,-0.89,0.29,166.10,-39.97,-138.50,28.47,walking
10,859796,-23.80,-923.52,-438.48,-4.30,-65.44,3.75,-246,-120,-489,0.28,-0.04,-0.89,0.35,162.60,-28.44,-133.10,29.54,418.40,-789.61,-835.33,53.08,-34.74,-122.05,-246,-120,-489,0.27,-0.02,-0.90,0.33,166.07,-28.44,-136.07,28.45,walking
11,859856,326.48,-842.77,-821.78,-61.45,-63.10,45.85,-378,-68,-553,0.22,-0.04,-0.92,0.33,166.06,-22.47,-137.95,29.56,824.22,-434.14,-8.06,53.74,-16.95,-85.24,-378,-68,-553,0.32,0.01,-0.88,0.35,165.85,-34.71,-132.12,28.46,walking
12,859913,834.29,-804.75,-158.45,-57.54,7.16,66.94,-378,-68,-553,0.36,-0.01,-0.86,0.37,159.57,-37.46,-126.15,29.55,1106.75,-30.70,-71.35,20.90,32.98,-73.58,-378,-68,-553,0.46,0.05,-0.83,0.32,160.67,-51.97,-128.70,28.47,walking
13,859969,1051.03,-596.62,-153.81,-52.65,58.14,103.16,-378,-68,-553,0.49,0.02,-0.81,0.33,150.55,-53.09,-119.94,29.53,946.11,366.46,20.14,-86.19,-0.62,125.39,-253,-65,-523,0.65,0.05,-0.75,0.09,165.66,-80.93,-153.69,28.46,walking
14,860069,1004.15,-270.87,-314.03,-1.62,47.33,99.29,-253,-65,-523,0.63,0.04,-0.76,0.15,148.38,-76.75,-132.87,29.55,999.33,259.89,-134.83,-103.62,-29.32,203.91,-253,-65,-523,0.63,0.04,-0.76,0.13,153.67,-76.82,-138.96,28.46,walking
15,860154,772.71,-322.81,-597.41,27.20,-13.12,70.89,-199,-113,-523,0.51,0.01,-0.84,0.20,159.52,-58.79,-140.98,29.57,786.80,-91.55,-300.11,-46.94,-104.78,249.99,-199,-113,-523,0.48,-0.02,-0.85,0.20,156.29,-54.42,-140.69,28.46,walking
16,860218,353.52,-371.22,-235.23,60.75,-78.73,66.59,-199,-113,-523,0.44,-0.05,-0.85,0.27,152.01,-47.01,-132.30,29.55,348.27,-192.87,56.64,40.95,-181.54,174.76,-199,-113,-523,0.46,-0.06,-0.82,0.33,144.18,-45.84,-119.99,28.47,walking
17,860282,-47.42,-485.05,-247.86,78.48,-186.58,65.28,-141,-229,-772,0.35,-0.14,-0.84,0.38,145.19,-29.08,-121.65,29.56,-221.74,-272.22,-796.20,94.38,-213.94,28.27,-141,-229,-772,0.23,-0.16,-0.89,0.35,151.57,-17.69,-132.76,28.46,walking
18,860338,-427.80,-442.75,-598.33,1.79,-95.21,23.16,-141,-229,-772,0.13,-0.22,-0.91,0.33,151.05,-5.14,-139.00,29.57,415.89,-63.72,-634.09,53.83,26.27,-129.88,-141,-229,-772,0.21,-0.19,-0.93,0.22,151.97,-17.83,-148.61,28.48,walking
19,860395,890.38,-573.30,413.94,5.97,115.83,-59.84,-141,-229,-772,0.36,-0.15,-0.88,0.26,146.82,-34.45,-137.13,29.56,214.42,-604.98,-638.73,-44.59,99.51,-1.56,-126,-145,-966,0.35,-0.19,-0.88,0.24,143.15,-31.80,-138.50,28.45,walking
