,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,5221750,854.43,-1820.50,914.67,19.34,13.32,126.50,-470,-277,-118,-0.31,0.09,0.50,-0.81,143.98,-9.02,-60.65,28.55,423.46,-1528.44,967.53,-33.21,-2.28,173.96,-470,-277,-118,-0.29,0.11,0.50,-0.81,144.59,-6.93,-61.93,28.36,male1_walking3
1,5221807,798.40,-1750.37,830.93,36.99,-5.29,127.28,-470,-277,-118,-0.30,0.09,0.52,-0.80,144.79,-9.18,-62.92,28.56,387.94,-1599.73,827.94,-45.59,-42.92,242.30,-470,-277,-118,-0.26,0.11,0.53,-0.80,147.24,-5.54,-65.42,28.40,male1_walking3
2,5221864,655.40,-1656.37,898.07,31.20,-13.47,107.15,-217,-279,-123,-0.26,0.09,0.52,-0.81,148.40,-7.02,-63.60,28.53,196.90,-1759.40,896.55,-65.16,-42.23,249.99,-217,-279,-123,-0.22,0.12,0.53,-0.81,151.39,-1.48,-65.81,28.40,male1_walking3
3,5221921,487.12,-1798.89,975.52,32.57,22.78,80.44,-217,-279,-123,-0.23,0.12,0.52,-0.81,150.03,-2.90,-64.19,28.54,91.06,-2000.00,620.36,-75.49,-42.32,249.99,-217,-279,-123,-0.18,0.15,0.55,-0.80,152.65,2.43,-69.15,28.37,male1_walking3
4,5221977,-88.13,-1870.54,413.88,46.20,59.98,41.98,-361,-325,-108,-0.20,0.18,0.56,-0.79,149.59,3.61,-71.44,28.53,-622.07,-1815.31,457.64,-45.02,5.53,155.18,-361,-325,-108,-0.15,0.23,0.56,-0.78,149.75,10.75,-74.36,28.37,male1_walking3
5,5222034,-762.33,-2000.00,623.41,-14.51,41.47,12.90,-361,-325,-108,-0.15,0.26,0.56,-0.77,147.60,13.52,-75.48,28.53,-368.59,-1718.20,933.59,22.64,139.12,-63.66,-361,-325,-108,-0.20,0.26,0.53,-0.78,143.43,11.63,-72.60,28.39,male1_walking3
6,5222090,284.85,-1823.43,1216.67,-13.21,65.08,-15.25,-361,-325,-108,-0.24,0.23,0.52,-0.79,141.88,6.21,-69.10,28.53,-156.86,-2000.00,-7.14,32.39,32.68,-33.62,-361,-280,-118,-0.26,0.24,0.56,-0.75,139.00,4.60,-75.01,28.38,male1_walking3
7,5222147,-74.71,-2000.00,84.78,-18.20,11.39,-24.28,-361,-280,-118,-0.26,0.25,0.58,-0.73,138.55,3.54,-78.82,28.53,206.30,-2000.00,842.90,47.36,-3.31,-114.23,-361,-280,-118,-0.29,0.20,0.57,-0.74,138.86,-1.71,-73.80,28.39,male1_walking3
8,5222203,899.90,-1580.44,1286.80,8.84,35.40,-68.40,-361,-280,-118,-0.34,0.14,0.54,-0.76,137.65,-9.19,-67.35,28.54,109.19,-2000.00,925.35,37.59,-10.34,-69.54,-470,-270,-67,-0.34,0.13,0.52,-0.77,137.97,-8.77,-64.89,28.39,male1_walking3
9,5222266,434.81,-2000.00,917.42,20.23,17.17,-74.46,-470,-270,-67,-0.36,0.11,0.52,-0.77,136.97,-11.36,-63.57,28.54,-19.04,-1907.65,840.70,21.60,21.34,-54.11,-470,-270,-67,-0.35,0.13,0.51,-0.77,136.68,-8.80,-63.00,28.39,male1_walking3
