,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,2019603,-7.26,-167.30,-1113.22,-17.79,-1.28,-34.33,-190,-8,-92,0.08,0.63,-0.77,0.08,-100.74,-12.89,-179.15,30.22,114.14,-417.79,-809.57,19.45,-82.76,16.06,-190,-8,-92,0.02,0.63,-0.77,0.11,-102.23,-9.66,-171.87,28.24,male2_chair_situp
1,2019661,-140.62,28.50,-866.27,7.99,-16.85,-10.89,-195,16,-121,0.00,0.64,-0.76,0.06,-99.58,-4.90,-174.46,30.24,234.25,-371.40,-722.66,16.94,-15.30,22.11,-195,16,-121,-0.01,0.65,-0.75,0.13,-99.00,-8.95,-168.44,28.25,male2_chair_situp
2,2019717,-312.01,-175.05,-767.09,1.71,-25.86,-6.06,-195,16,-121,-0.06,0.65,-0.75,0.09,-97.52,-1.08,-167.91,30.24,179.81,-214.66,-786.07,0.86,-2.54,-7.17,-195,16,-121,-0.04,0.67,-0.73,0.12,-95.45,-5.94,-167.11,28.25,male2_chair_situp
3,2019773,116.82,-64.03,-880.43,1.85,11.70,-3.38,-195,16,-121,-0.01,0.68,-0.73,0.11,-94.34,-7.54,-169.55,30.22,244.75,63.78,-817.08,-3.16,1.32,-1.76,-195,-3,-98,0.03,0.68,-0.73,0.10,-94.16,-9.91,-173.75,28.26,male2_chair_situp
4,2019829,91.31,-147.16,-958.31,-1.70,-1.39,1.12,-195,-3,-98,0.01,0.68,-0.73,0.09,-94.87,-8.26,-173.18,30.20,233.95,-185.36,-847.17,16.27,-12.16,1.98,-195,-3,-98,0.01,0.67,-0.73,0.11,-95.40,-9.57,-171.32,28.25,male2_chair_situp
5,2019883,-97.35,-120.79,-934.63,9.09,-16.45,-2.53,-195,-3,-98,-0.02,0.67,-0.74,0.08,-95.51,-4.36,-171.53,30.24,242.98,-108.28,-829.59,6.95,-4.48,-0.36,-195,-92,-94,-0.01,0.64,-0.77,0.08,-100.42,-4.94,-172.42,28.26,male2_chair_situp
6,2019940,10.93,-115.84,-864.38,-2.49,-6.41,-4.10,-195,-92,-94,-0.02,0.61,-0.79,0.05,-104.16,-1.59,-173.38,30.23,198.06,-87.89,-815.00,7.17,-6.53,-3.20,-195,-92,-94,-0.01,0.59,-0.80,0.06,-106.80,-3.31,-173.79,28.26,male2_chair_situp
7,2019996,6.84,-139.95,-894.59,2.15,-9.34,-3.30,-195,-92,-94,-0.02,0.58,-0.81,0.05,-109.09,-1.08,-173.57,30.24,239.26,-122.56,-791.02,10.06,-6.46,0.00,-195,-92,-94,-0.00,0.57,-0.82,0.07,-110.72,-4.29,-172.96,28.24,male2_chair_situp
8,2020052,-6.41,-127.81,-845.15,-0.08,-14.40,-2.69,-217,-94,-92,-0.02,0.56,-0.83,0.06,-112.00,-1.77,-172.83,30.23,245.12,-119.81,-759.58,7.32,-3.54,-1.49,-217,-94,-92,0.00,0.55,-0.83,0.08,-112.62,-5.49,-172.31,28.26,male2_chair_situp
9,2020108,-22.34,-150.15,-815.98,1.50,-3.65,-2.27,-217,-94,-92,-0.02,0.55,-0.83,0.07,-113.62,-2.91,-171.75,30.22,239.07,-123.17,-750.24,1.98,0.65,-1.10,-217,-94,-92,0.01,0.54,-0.83,0.09,-114.10,-6.55,-171.53,28.26,male2_chair_situp
10,2020164,-1.83,-156.92,-819.52,4.05,5.13,-1.05,-219,-92,-98,-0.01,0.54,-0.84,0.09,-114.95,-4.31,-170.91,30.23,244.51,-117.55,-779.30,-0.49,2.02,-0.38,-219,-92,-98,0.01,0.54,-0.84,0.10,-115.25,-7.51,-171.13,28.25,male2_chair_situp
11,2020220,4.33,-145.75,-859.56,3.37,6.28,-0.71,-219,-92,-98,-0.00,0.53,-0.84,0.09,-115.91,-5.29,-170.99,30.23,267.70,-89.29,-825.62,-1.14,0.95,-0.37,-219,-92,-98,0.03,0.53,-0.84,0.10,-116.04,-8.54,-171.82,28.24,male2_chair_situp
12,2020275,23.19,-148.80,-915.16,-0.60,4.47,-0.39,-219,-92,-98,0.01,0.53,-0.85,0.09,-116.61,-6.32,-171.67,30.23,239.81,-101.14,-833.13,3.17,-2.92,0.18,-192,-92,-98,0.03,0.52,-0.85,0.10,-117.40,-8.45,-172.17,28.26,male2_chair_situp
