,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,1414031,283.75,-875.37,-1075.56,53.57,-103.06,-105.03,-442,269,144,0.01,-0.88,0.41,-0.25,-53.11,-24.98,-165.41,31.56,875.31,124.15,-835.45,15.22,-8.48,-17.64,-442,269,144,-0.04,-0.87,0.40,-0.27,-52.22,-30.71,-170.05,29.11,male2_legraise
1,1414088,483.89,-796.81,-954.41,36.94,-63.00,-104.48,-453,215,-125,0.04,-0.86,0.44,-0.26,-58.11,-23.64,-161.01,31.55,982.24,-11.84,-609.62,26.93,-41.95,-3.72,-453,215,-125,0.01,-0.85,0.44,-0.29,-59.61,-29.18,-162.13,29.10,male2_legraise
2,1414145,578.55,-822.02,-932.80,52.19,-16.83,-94.13,-453,215,-125,0.07,-0.83,0.46,-0.30,-63.73,-25.62,-154.28,31.54,1103.94,130.25,-622.38,1.06,-44.05,32.78,-453,215,-125,0.01,-0.83,0.46,-0.32,-63.80,-31.56,-158.73,29.10,male2_legraise
3,1414201,459.96,-1137.76,-864.93,56.13,-31.62,-89.55,-439,222,-64,0.09,-0.81,0.48,-0.33,-68.27,-26.23,-148.70,31.55,906.80,-201.84,-781.74,-27.56,-19.68,66.11,-439,222,-64,0.05,-0.80,0.48,-0.34,-69.52,-29.77,-151.75,29.10,male2_legraise
4,1414257,758.36,-911.62,-1013.67,53.99,10.35,-76.95,-439,222,-64,0.08,-0.79,0.48,-0.36,-71.25,-29.54,-146.92,31.54,1085.33,-23.93,-751.10,-7.17,-60.56,69.62,-439,222,-64,0.03,-0.80,0.48,-0.36,-70.68,-33.25,-151.89,29.11,male2_legraise
5,1414314,512.08,-1214.42,-780.82,50.34,-38.97,-76.29,-307,119,-111,0.11,-0.78,0.51,-0.36,-75.19,-25.81,-143.26,31.55,659.36,-355.35,-932.80,-20.67,-34.20,75.90,-307,119,-111,0.10,-0.77,0.53,-0.33,-76.25,-23.96,-147.00,29.11,male2_legraise
6,1414372,522.46,-979.49,-980.22,52.36,47.40,-63.79,-307,119,-111,0.12,-0.76,0.53,-0.35,-78.09,-23.50,-142.15,31.56,641.11,-184.20,-838.93,-22.74,2.77,51.24,-307,119,-111,0.07,-0.77,0.54,-0.33,-77.89,-25.40,-148.21,29.10,male2_legraise
7,1414427,553.41,-924.62,-784.36,46.30,6.31,-51.09,-307,119,-111,0.11,-0.75,0.54,-0.36,-80.20,-24.50,-142.05,31.55,-296.02,-1308.41,-1398.01,27.62,-78.05,57.53,-361,222,161,0.19,-0.76,0.55,-0.30,-76.86,-14.33,-140.00,29.11,male2_legraise
8,1414485,-315.06,-854.86,-902.83,0.31,-104.87,50.48,-361,222,161,0.26,-0.76,0.54,-0.24,-72.53,-4.88,-139.34,31.55,723.02,299.62,-1182.37,-2.41,-6.27,-13.89,-361,222,161,0.15,-0.81,0.52,-0.22,-67.56,-11.83,-151.31,29.09,male2_legraise
9,1414541,1094.42,-813.05,-859.13,-14.65,0.50,8.77,-361,222,161,0.13,-0.82,0.48,-0.29,-66.72,-21.02,-148.60,31.55,822.20,-190.06,-753.36,24.34,-48.78,5.30,-349,213,146,0.08,-0.83,0.45,-0.32,-63.84,-26.76,-152.00,29.09,male2_legraise
10,1414597,627.56,-867.74,-657.84,-1.80,-19.68,-1.47,-349,213,146,0.11,-0.81,0.45,-0.35,-66.93,-27.47,-145.61,31.55,541.87,-83.37,-891.17,-3.01,6.45,-0.14,-349,213,146,0.06,-0.83,0.45,-0.33,-63.66,-29.10,-153.20,29.13,male2_legraise
11,1414653,741.03,-898.99,-751.46,3.68,21.86,-2.04,-349,213,146,0.09,-0.81,0.45,-0.37,-67.62,-30.76,-146.59,31.56,655.58,-71.11,-915.59,-5.80,15.99,-2.24,-349,213,146,0.03,-0.83,0.44,-0.35,-64.07,-32.99,-154.24,29.10,male2_legraise
12,1414710,794.62,-862.12,-764.04,0.72,13.18,-4.04,-361,208,-125,0.08,-0.80,0.47,-0.37,-70.43,-31.16,-146.91,31.56,660.16,-39.37,-940.61,-4.66,8.19,-0.63,-361,208,-125,0.03,-0.81,0.48,-0.34,-68.20,-31.45,-153.76,29.09,male2_legraise
13,1414765,784.00,-879.21,-776.31,-3.43,-4.66,0.63,-361,208,-125,0.07,-0.79,0.49,-0.36,-73.20,-30.26,-147.29,31.53,658.45,-68.05,-928.10,1.64,-12.89,-1.44,-361,208,-125,0.03,-0.80,0.49,-0.34,-70.52,-30.72,-153.90,29.09,male2_legraise
14,1414822,813.23,-890.32,-745.06,-4.06,-14.18,-1.77,-358,208,165,0.06,-0.79,0.48,-0.38,-72.60,-32.48,-147.44,31.52,584.84,-63.11,-908.14,0.27,-13.87,-0.63,-358,208,165,0.00,-0.82,0.47,-0.33,-65.65,-32.93,-158.21,29.10,male2_legraise
15,1414889,780.76,-856.02,-760.01,-2.03,11.21,0.15,-358,208,165,0.03,-0.80,0.47,-0.37,-69.77,-34.20,-150.74,31.54,680.24,-43.40,-970.89,-7.40,13.02,1.38,-358,208,165,-0.01,-0.82,0.46,-0.35,-65.74,-35.27,-157.86,29.10,male2_legraise
16,1414945,810.79,-900.09,-804.99,-3.55,11.38,1.14,-356,210,170,0.03,-0.80,0.47,-0.38,-70.38,-35.74,-149.96,31.55,657.84,-61.34,-942.93,-2.17,-3.56,-0.05,-356,210,170,-0.01,-0.81,0.46,-0.36,-66.03,-36.00,-156.87,29.08,male2_legraise
17,1415002,772.83,-891.11,-776.79,-1.56,0.79,-0.57,-356,210,170,0.03,-0.80,0.46,-0.39,-70.13,-35.79,-149.82,31.54,607.85,-69.46,-954.10,-1.41,-3.68,-1.40,-356,210,170,-0.00,-0.82,0.46,-0.35,-65.54,-35.36,-157.25,29.09,male2_legraise
18,1415058,679.99,-869.93,-797.18,-0.09,2.71,0.54,-348,208,-121,0.05,-0.79,0.49,-0.36,-72.43,-31.23,-149.22,31.53,516.85,-105.90,-1011.23,-2.56,-4.38,-10.35,-348,208,-121,0.03,-0.80,0.50,-0.32,-69.98,-29.50,-155.47,29.11,male2_legraise
19,1415114,506.23,-839.29,-886.72,2.05,10.51,-0.02,-348,208,-121,0.07,-0.79,0.52,-0.33,-73.85,-26.80,-149.57,31.54,504.03,-270.63,-964.97,0.51,2.49,-32.99,-348,208,-121,0.02,-0.81,0.51,-0.29,-69.12,-27.21,-158.27,29.09,male2_legraise
20,1415197,539.43,-1014.77,-880.80,-30.73,11.07,15.30,-324,208,158,0.07,-0.80,0.50,-0.33,-71.26,-26.76,-150.74,31.53,584.66,-148.44,-939.15,-0.11,20.09,-38.15,-324,208,158,0.03,-0.82,0.48,-0.32,-66.41,-29.34,-156.26,29.10,male2_legraise
21,1415254,562.68,-1054.75,-899.66,-33.11,2.86,37.99,-324,208,158,0.08,-0.80,0.49,-0.34,-70.28,-27.44,-148.87,31.53,704.10,-281.37,-884.70,20.68,30.80,-45.25,-324,208,158,0.05,-0.82,0.46,-0.35,-66.10,-31.91,-152.55,29.10,male2_legraise
22,1415311,508.73,-1124.15,-979.19,-24.77,-15.34,57.56,-466,222,-118,0.11,-0.79,0.51,-0.33,-73.41,-23.66,-145.90,31.55,811.83,-231.99,-970.03,41.89,33.22,-47.38,-466,222,-118,0.07,-0.80,0.49,-0.34,-71.36,-28.53,-149.59,29.09,male2_legraise
23,1415368,510.74,-997.68,-917.97,-38.88,-15.31,76.28,-466,222,-118,0.11,-0.77,0.54,-0.33,-76.89,-22.94,-144.89,31.54,842.41,-247.62,-828.55,46.80,28.56,-35.16,-466,222,-118,0.06,-0.78,0.51,-0.36,-74.68,-29.85,-148.00,29.11,male2_legraise
24,1415425,458.80,-1023.56,-921.81,-34.32,15.55,88.43,-466,222,-118,0.11,-0.75,0.55,-0.35,-80.92,-23.65,-142.97,31.54,981.08,-252.38,-859.01,23.93,35.29,-23.16,-463,208,-104,0.05,-0.76,0.53,-0.38,-78.69,-31.55,-146.98,29.10,male2_legraise
25,1415482,500.92,-965.03,-1059.02,-38.42,26.40,105.85,-463,208,-104,0.08,-0.73,0.57,-0.36,-84.25,-25.60,-143.97,31.54,1042.91,-57.25,-793.46,18.57,11.09,-4.87,-463,208,-104,0.01,-0.75,0.54,-0.37,-81.05,-33.48,-149.69,29.09,male2_legraise
26,1415537,458.98,-922.85,-982.73,-46.30,28.34,104.93,-463,208,-104,0.05,-0.72,0.60,-0.36,-87.77,-26.65,-145.48,31.56,1033.81,-24.29,-712.71,3.46,10.37,20.37,-441,131,-106,-0.02,-0.72,0.58,-0.37,-86.42,-33.64,-150.98,29.06,male2_legraise
27,1415595,444.95,-773.25,-1023.25,-41.69,17.43,111.87,-441,131,-106,0.02,-0.69,0.64,-0.34,-92.84,-26.10,-148.54,31.53,1010.31,34.36,-667.42,-8.96,9.62,47.41,-441,131,-106,-0.05,-0.70,0.62,-0.35,-91.40,-33.63,-153.82,29.09,male2_legraise
28,1415651,393.37,-684.51,-1070.13,-34.54,14.31,114.49,-441,131,-106,-0.01,-0.67,0.67,-0.33,-96.86,-26.57,-151.42,31.53,988.53,101.93,-657.96,-11.84,9.62,60.62,-458,145,-109,-0.10,-0.68,0.65,-0.34,-94.18,-35.76,-158.08,29.10,male2_legraise
29,1415707,314.21,-606.20,-1082.40,-31.48,5.40,117.82,-458,145,-109,-0.05,-0.65,0.69,-0.31,-99.02,-28.32,-155.12,31.51,926.76,135.99,-652.53,-7.52,11.44,66.21,-458,145,-109,-0.13,-0.66,0.66,-0.32,-96.11,-36.59,-161.32,29.09,male2_legraise
