,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,323342,9.52,-33.26,-1388.55,-0.05,4.26,-0.02,-348,-109,-472,0.07,0.70,-0.60,-0.39,-91.25,27.35,140.10,30.97,-607.85,737.98,623.72,-0.93,1.42,0.14,-348,-109,-472,0.09,0.65,-0.56,-0.51,-100.03,33.70,124.28,29.82,male2_streching_leg
1,323400,8.18,-32.71,-1387.70,-0.41,5.07,-0.38,-348,-109,-472,0.07,0.69,-0.60,-0.40,-92.15,27.50,139.79,30.96,-608.52,738.83,617.25,-1.26,1.83,-0.07,-348,-113,-475,0.09,0.64,-0.56,-0.51,-101.20,33.97,123.27,29.82,male2_streching_leg
2,323455,9.22,-34.06,-1403.08,-0.56,4.69,-0.42,-348,-113,-475,0.07,0.68,-0.60,-0.41,-93.36,28.22,138.17,30.97,-606.14,738.16,609.68,-0.72,1.98,0.17,-348,-113,-475,0.09,0.64,-0.56,-0.52,-102.15,34.26,122.03,29.82,male2_streching_leg
3,323511,16.78,-31.43,-1406.80,0.04,4.36,0.05,-348,-113,-475,0.07,0.68,-0.60,-0.41,-93.82,28.26,137.68,30.95,-602.11,738.89,610.90,-0.50,0.99,0.17,-358,-44,-475,0.10,0.64,-0.55,-0.53,-101.55,34.27,120.79,29.80,male2_streching_leg
4,323566,20.14,-28.81,-1403.50,0.25,3.33,0.45,-358,-44,-475,0.08,0.69,-0.59,-0.42,-92.21,28.45,136.37,30.99,-598.63,736.27,612.37,-0.45,-0.68,-0.21,-358,-44,-475,0.11,0.65,-0.55,-0.52,-99.57,33.87,121.31,29.82,male2_streching_leg
5,323622,12.45,-34.24,-1399.54,0.59,2.17,0.32,-358,-44,-475,0.09,0.70,-0.58,-0.40,-90.26,27.56,138.10,30.97,-619.38,734.31,619.20,-0.29,-0.88,-0.15,-358,-44,-475,0.11,0.66,-0.54,-0.51,-97.95,33.61,122.77,29.81,male2_streching_leg
6,323677,2.62,-31.86,-1389.10,0.38,2.88,0.49,-359,-49,-470,0.08,0.70,-0.58,-0.40,-89.37,27.31,139.14,30.97,-610.60,738.04,622.80,-0.37,0.12,-0.07,-359,-49,-470,0.11,0.66,-0.55,-0.51,-97.29,33.37,123.81,29.81,male2_streching_leg
7,323732,11.11,-28.02,-1386.84,0.21,3.63,0.24,-359,-49,-470,0.09,0.70,-0.58,-0.40,-89.58,27.60,138.46,30.98,-610.23,735.35,620.36,-0.44,0.50,0.02,-359,-49,-470,0.11,0.66,-0.54,-0.51,-97.69,33.64,122.89,29.81,male2_streching_leg
8,323788,10.13,-33.94,-1392.03,0.16,3.60,0.25,-361,-120,-462,0.08,0.70,-0.59,-0.40,-91.00,27.51,139.27,30.98,-607.67,732.73,622.31,-0.63,0.20,-0.14,-361,-120,-462,0.09,0.65,-0.56,-0.51,-100.22,33.82,123.66,29.84,male2_streching_leg
9,323844,10.13,-32.41,-1391.42,0.17,3.23,0.18,-361,-120,-462,0.07,0.69,-0.60,-0.40,-92.74,27.63,139.55,30.98,-610.90,736.21,616.64,-0.70,0.14,-0.21,-361,-120,-462,0.08,0.64,-0.57,-0.51,-101.47,33.88,124.04,29.83,male2_streching_leg
